Time,C_in,C,C_next
420,2.64768082635423,1.0118892812586,1.01139402444865
421,2.64559565971037,1.01139402444865,1.0109020067078
422,2.64352105746266,1.0109020067078,1.01041161290207
423,2.64145716882098,1.01041161290207,1.00992358307249
424,2.63940414131807,1.00992358307249,1.00943863351621
425,2.63736212079092,1.00943863351621,1.0089550398317
426,2.63533125136253,1.0089550398317,1.00847469275399
427,2.63331167542378,1.00847469275399,1.00799668922417
428,2.63130353361567,1.00799668922417,1.00752069907906
429,2.62930696481172,1.00752069907906,1.00704820773928
430,2.62732210610076,1.00704820773928,1.00657736722455
431,2.62534909276982,1.00657736722455,1.00610960819073
432,2.62338805828745,1.00610960819073,1.00564479530276
433,2.62143913428717,1.00564479530276,1.00518184758306
434,2.61950245055128,1.00518184758306,1.00472260624913
435,2.61757813499493,1.00472260624913,1.00426541706648
436,2.61566631365042,1.00426541706648,1.00381116276987
437,2.61376711065183,1.00381116276987,1.00336029263667
438,2.6118806482199,1.00336029263667,1.00291130265897
439,2.61000704664721,1.00291130265897,1.00246613406389
440,2.60814642428364,1.00246613406389,1.00202337900039
441,2.60629889752208,1.00202337900039,1.00158349883221
442,2.60446458078455,1.00158349883221,1.00114730439249
443,2.6026435865084,1.00114730439249,1.00071309500747
444,2.60083602513305,1.00071309500747,1.00028280102139
445,2.5990420050868,1.00028280102139,0.999855194329602
446,2.59726163277414,0.999855194329602,0.999430493575181
447,2.59549501256317,0.999430493575181,0.999009683256879
448,2.59374224677345,0.999009683256879,0.998590994416786
449,2.59200343566412,0.998590994416786,0.998176330102669
450,2.5902786774223,0.998176330102669,0.997764531758984
451,2.58856806815181,0.997764531758984,0.997355748425827
452,2.58687170186223,0.997355748425827,0.99695099153809
453,2.58518967045819,0.99695099153809,0.996548491281498
454,2.58352206372905,0.996548491281498,0.996150151789249
455,2.58186896933889,0.996150151789249,0.995754768673621
456,2.5802304728167,0.995754768673621,0.99536257471275
457,2.57860665754709,0.99536257471275,0.99497448237986
458,2.57699760476106,0.99497448237986,0.994588780178916
459,2.57540339352737,0.994588780178916,0.994207393058287
460,2.57382410074395,0.994207393058287,0.993828977010629
461,2.57225980112987,0.993828977010629,0.993453979169012
462,2.57071056721745,0.993453979169012,0.993083091577194
463,2.56917646934481,0.993083091577194,0.99271474578182
464,2.56765757564871,0.99271474578182,0.992350864928298
465,2.56615395205764,0.992350864928298,0.99198991207678
466,2.56466566228539,0.99198991207678,0.991632650423631
467,2.5631927678248,0.991632650423631,0.9912794347029
468,2.5617353279419,0.9912794347029,0.990928950604435
469,2.56029339967039,0.990928950604435,0.990583050322881
470,2.55886703780644,0.990583050322881,0.990240002925893
471,2.55745629490376,0.990240002925893,0.989900946829059
472,2.55606122126912,0.989900946829059,0.989565797935178
473,2.55468186495808,0.989565797935178,0.989233624120148
474,2.55331827177113,0.989233624120148,0.988906093169333
475,2.55197048525011,0.988906093169333,0.988581343490236
476,2.55063854667504,0.988581343490236,0.988260885789969
477,2.54932249506115,0.988260885789969,0.987944131587596
478,2.54802236715639,0.987944131587596,0.987630653086303
479,2.54673819743918,0.987630653086303,0.987321789304328
480,2.54547001811652,0.987321789304328,0.987015684254827
481,2.54421785912242,0.987015684254827,0.986714134843909
482,2.54298174811671,0.986714134843909,0.986416043431384
483,2.54176171048412,0.986416043431384,0.986121573211606
484,2.54055776933374,0.986121573211606,0.985831579803842
485,2.53936994549879,0.985831579803842,0.985544424665516
486,2.53819825753674,0.985544424665516,0.9852620048124
487,2.53704272172976,0.9852620048124,0.984982791807378
488,2.53590335208546,0.984982791807378,0.984707562523021
489,2.53478016033807,0.984707562523021,0.984436567251422
490,2.53367315594983,0.984436567251422,0.984168606756468
491,2.5325823461128,0.984168606756468,0.983905445373414
492,2.53150773575095,0.983905445373414,0.983645279407718
493,2.5304493275226,0.983645279407718,0.983389436822546
494,2.52940712182323,0.983389436822546,0.983137515751554
495,2.52838111678854,0.983137515751554,0.982888910506588
496,2.52737130829792,0.982888910506588,0.982645043316711
497,2.52637768997819,0.982645043316711,0.982404048466164
498,2.52540025320769,0.982404048466164,0.982167647612099
499,2.52443898712074,0.982167647612099,0.981934828054062
500,2.52349387861236,0.981934828054062,0.981705651427835
501,2.52256491234333,0.981705651427835,0.98148102359292
502,2.52165207074562,0.98148102359292,0.981259277936319
503,2.52075533402812,0.981259277936319,0.981042282652836
504,2.51987468018266,0.981042282652836,0.980828546210592
505,2.51901008499042,0.980828546210592,0.980618780669905
506,2.51816152202858,0.980618780669905,0.980413270958282
507,2.51732896267737,0.980413270958282,0.980210783115803
508,2.5165123761274,0.980210783115803,0.980013069154781
509,2.51571172938729,0.980013069154781,0.979818350637499
510,2.51492698729168,0.979818350637499,0.979627887729688
511,2.51415811250945,0.979627887729688,0.979441336846137
512,2.5134050655524,0.979441336846137,0.979258017883553
513,2.51266780478408,0.979258017883553,0.979079379314074
514,2.51194628642908,0.979079379314074,0.978903561848721
515,2.51124046458251,0.978903561848721,0.978732205597132
516,2.51055029121988,0.978732205597132,0.978564410720264
517,2.50987571620721,0.978564410720264,0.978400079492477
518,2.50921668731152,0.978400079492477,0.978240237716346
519,2.50857315021153,0.978240237716346,0.978083144896584
520,2.5079450485088,0.978083144896584,0.97793061795694
521,2.50733232373897,0.97793061795694,0.977781328853998
522,2.50673491538354,0.977781328853998,0.977635715639538
523,2.50615276088169,0.977635715639538,0.977494333330406
524,2.50558579564264,0.977494333330406,0.977355716315292
525,2.5050339530581,0.977355716315292,0.977221667907855
526,2.50449716451512,0.977221667907855,0.977090581103095
527,2.50397535940921,0.977090581103095,0.976963333372456
528,2.50346846515773,0.976963333372456,0.976840035982146
529,2.50297640721356,0.976840035982146,0.976719553225717
530,2.50249910907908,0.976719553225717,0.976603567595946
531,2.50203649232039,0.976603567595946,0.976490320118333
532,2.50158847658183,0.976490320118333,0.9763810093469
533,2.50115497960078,0.9763810093469,0.976275378946111
534,2.50073591722273,0.976275378946111,0.976172604190995
535,2.50033120341658,0.976172604190995,0.976074208236172
536,2.49994075029025,0.976074208236172,0.975978372635215
